year,lad_code,lad_name,region,nation,median_gross_annual_earnings
2022,E06000013,North Lincolnshire,Yorkshire and The Humber,E,25960.0
2023,E06000013,North Lincolnshire,Yorkshire and The Humber,E,26738.0
2024,E06000013,North Lincolnshire,Yorkshire and The Humber,E,27540.0
2010,E06000014,York,Yorkshire and The Humber,E,23030.0
2011,E06000014,York,Yorkshire and The Humber,E,23675.0
2012,E06000014,York,Yorkshire and The Humber,E,24338.0
2013,E06000014,York,Yorkshire and The Humber,E,25019.0
2014,E06000014,York,Yorkshire and The Humber,E,25720.0
2015,E06000014,York,Yorkshire and The Humber,E,26440.0
2016,E06000014,York,Yorkshire and The Humber,E,27233.0
2017,E06000014,York,Yorkshire and The Humber,E,28050.0
2018,E06000014,York,Yorkshire and The Humber,E,28891.0
2019,E06000014,York,Yorkshire and The Humber,E,29758.0
2020,E06000014,York,Yorkshire and The Humber,E,30651.0
2021,E06000014,York,Yorkshire and The Humber,E,31570.0
2022,E06000014,York,Yorkshire and The Humber,E,32517.0
2023,E06000014,York,Yorkshire and The Humber,E,33493.0
2024,E06000014,York,Yorkshire and The Humber,E,34498.0
2010,E06000015,Derby,East Midlands,E,25211.0
2011,E06000015,Derby,East Midlands,E,25917.0
2012,E06000015,Derby,East Midlands,E,26643.0
2013,E06000015,Derby,East Midlands,E,27389.0
2014,E06000015,Derby,East Midlands,E,28156.0
2015,E06000015,Derby,East Midlands,E,28944.0
2016,E06000015,Derby,East Midlands,E,29812.0
2017,E06000015,Derby,East Midlands,E,30706.0
2018,E06000015,Derby,East Midlands,E,31628.0
2019,E06000015,Derby,East Midlands,E,32577.0
2020,E06000015,Derby,East Midlands,E,33554.0
2021,E06000015,Derby,East Midlands,E,34560.0
2022,E06000015,Derby,East Midlands,E,35597.0
2023,E06000015,Derby,East Midlands,E,36665.0
2024,E06000015,Derby,East Midlands,E,37765.0
2010,E06000016,Leicester,East Midlands,E,24043.0
2011,E06000016,Leicester,East Midlands,E,24716.0
2012,E06000016,Leicester,East Midlands,E,25408.0
2013,E06000016,Leicester,East Midlands,E,26120.0
2014,E06000016,Leicester,East Midlands,E,26851.0
2015,E06000016,Leicester,East Midlands,E,27603.0
2016,E06000016,Leicester,East Midlands,E,28431.0
2017,E06000016,Leicester,East Midlands,E,29284.0
2018,E06000016,Leicester,East Midlands,E,30163.0
2019,E06000016,Leicester,East Midlands,E,31068.0
2020,E06000016,Leicester,East Midlands,E,32000.0
2021,E06000016,Leicester,East Midlands,E,32960.0
2022,E06000016,Leicester,East Midlands,E,33949.0
2023,E06000016,Leicester,East Midlands,E,34967.0
2024,E06000016,Leicester,East Midlands,E,36016.0
2010,E06000017,Rutland,East Midlands,E,21336.0
2011,E06000017,Rutland,East Midlands,E,21933.0
2012,E06000017,Rutland,East Midlands,E,22547.0
2013,E06000017,Rutland,East Midlands,E,23179.0
2014,E06000017,Rutland,East Midlands,E,23828.0
2015,E06000017,Rutland,East Midlands,E,24495.0
2016,E06000017,Rutland,East Midlands,E,25230.0
2017,E06000017,Rutland,East Midlands,E,25987.0
2018,E06000017,Rutland,East Midlands,E,26767.0
2019,E06000017,Rutland,East Midlands,E,27570.0
2020,E06000017,Rutland,East Midlands,E,28397.0
2021,E06000017,Rutland,East Midlands,E,29249.0
2022,E06000017,Rutland,East Midlands,E,30126.0
2023,E06000017,Rutland,East Midlands,E,31030.0
2024,E06000017,Rutland,East Midlands,E,31961.0
2010,E06000018,Nottingham,East Midlands,E,23255.0
2011,E06000018,Nottingham,East Midlands,E,23906.0
2012,E06000018,Nottingham,East Midlands,E,24575.0
2013,E06000018,Nottingham,East Midlands,E,25263.0
2014,E06000018,Nottingham,East Midlands,E,25971.0
2015,E06000018,Nottingham,East Midlands,E,26698.0
2016,E06000018,Nottingham,East Midlands,E,27499.0
2017,E06000018,Nottingham,East Midlands,E,28324.0
2018,E06000018,Nottingham,East Midlands,E,29174.0
2019,E06000018,Nottingham,East Midlands,E,30049.0
2020,E06000018,Nottingham,East Midlands,E,30951.0
2021,E06000018,Nottingham,East Midlands,E,31879.0
2022,E06000018,Nottingham,East Midlands,E,32836.0
2023,E06000018,Nottingham,East Midlands,E,33821.0
2024,E06000018,Nottingham,East Midlands,E,34835.0
2010,E06000019,"Herefordshire, County of",West Midlands,E,22958.0
2011,E06000019,"Herefordshire, County of",West Midlands,E,23601.0
2012,E06000019,"Herefordshire, County of",West Midlands,E,24261.0
2013,E06000019,"Herefordshire, County of",West Midlands,E,24941.0
2014,E06000019,"Herefordshire, County of",West Midlands,E,25639.0
2015,E06000019,"Herefordshire, County of",West Midlands,E,26357.0
2016,E06000019,"Herefordshire, County of",West Midlands,E,27148.0
2017,E06000019,"Herefordshire, County of",West Midlands,E,27963.0
2018,E06000019,"Herefordshire, County of",West Midlands,E,28801.0
2019,E06000019,"Herefordshire, County of",West Midlands,E,29666.0
2020,E06000019,"Herefordshire, County of",West Midlands,E,30556.0
2021,E06000019,"Herefordshire, County of",West Midlands,E,31472.0
2022,E06000019,"Herefordshire, County of",West Midlands,E,32416.0
2023,E06000019,"Herefordshire, County of",West Midlands,E,33389.0
2024,E06000019,"Herefordshire, County of",West Midlands,E,34390.0
2010,E06000020,Telford and Wrekin,West Midlands,E,21738.0
2011,E06000020,Telford and Wrekin,West Midlands,E,22347.0
2012,E06000020,Telford and Wrekin,West Midlands,E,22973.0
2013,E06000020,Telford and Wrekin,West Midlands,E,23616.0
2014,E06000020,Telford and Wrekin,West Midlands,E,24277.0
2015,E06000020,Telford and Wrekin,West Midlands,E,24957.0
2016,E06000020,Telford and Wrekin,West Midlands,E,25706.0
2017,E06000020,Telford and Wrekin,West Midlands,E,26477.0
2018,E06000020,Telford and Wrekin,West Midlands,E,27272.0
2019,E06000020,Telford and Wrekin,West Midlands,E,28090.0
2020,E06000020,Telford and Wrekin,West Midlands,E,28932.0
2021,E06000020,Telford and Wrekin,West Midlands,E,29800.0
2022,E06000020,Telford and Wrekin,West Midlands,E,30694.0
2023,E06000020,Telford and Wrekin,West Midlands,E,31615.0
2024,E06000020,Telford and Wrekin,West Midlands,E,32564.0
2010,E06000021,Stoke-on-Trent,West Midlands,E,21883.0
2011,E06000021,Stoke-on-Trent,West Midlands,E,22496.0
2012,E06000021,Stoke-on-Trent,West Midlands,E,23126.0
2013,E06000021,Stoke-on-Trent,West Midlands,E,23773.0
2014,E06000021,Stoke-on-Trent,West Midlands,E,24439.0
2015,E06000021,Stoke-on-Trent,West Midlands,E,25123.0
2016,E06000021,Stoke-on-Trent,West Midlands,E,25876.0
2017,E06000021,Stoke-on-Trent,West Midlands,E,26652.0
2018,E06000021,Stoke-on-Trent,West Midlands,E,27452.0
2019,E06000021,Stoke-on-Trent,West Midlands,E,28276.0
2020,E06000021,Stoke-on-Trent,West Midlands,E,29124.0
2021,E06000021,Stoke-on-Trent,West Midlands,E,29998.0
2022,E06000021,Stoke-on-Trent,West Midlands,E,30898.0
2023,E06000021,Stoke-on-Trent,West Midlands,E,31824.0
2024,E06000021,Stoke-on-Trent,West Midlands,E,32779.0
2010,E06000022,Bath and North East Somerset,South West,E,23051.0
2011,E06000022,Bath and North East Somerset,South West,E,23696.0
2012,E06000022,Bath and North East Somerset,South West,E,24360.0
2013,E06000022,Bath and North East Somerset,South West,E,25042.0
2014,E06000022,Bath and North East Somerset,South West,E,25743.0
2015,E06000022,Bath and North East Somerset,South West,E,26464.0
2016,E06000022,Bath and North East Somerset,South West,E,27257.0
2017,E06000022,Bath and North East Somerset,South West,E,28075.0
2018,E06000022,Bath and North East Somerset,South West,E,28917.0
2019,E06000022,Bath and North East Somerset,South West,E,29785.0
2020,E06000022,Bath and North East Somerset,South West,E,30679.0
2021,E06000022,Bath and North East Somerset,South West,E,31599.0
2022,E06000022,Bath and North East Somerset,South West,E,32547.0
2023,E06000022,Bath and North East Somerset,South West,E,33523.0
2024,E06000022,Bath and North East Somerset,South West,E,34529.0
2010,E06000023,"Bristol, City of",South West,E,24233.0
2011,E06000023,"Bristol, City of",South West,E,24912.0
2012,E06000023,"Bristol, City of",South West,E,25609.0
2013,E06000023,"Bristol, City of",South West,E,26326.0
2014,E06000023,"Bristol, City of",South West,E,27063.0
2015,E06000023,"Bristol, City of",South West,E,27821.0
2016,E06000023,"Bristol, City of",South West,E,28656.0
2017,E06000023,"Bristol, City of",South West,E,29515.0
2018,E06000023,"Bristol, City of",South West,E,30401.0
2019,E06000023,"Bristol, City of",South West,E,31313.0
2020,E06000023,"Bristol, City of",South West,E,32252.0
2021,E06000023,"Bristol, City of",South West,E,33220.0
2022,E06000023,"Bristol, City of",South West,E,34216.0
2023,E06000023,"Bristol, City of",South West,E,35243.0
2024,E06000023,"Bristol, City of",South West,E,36300.0
2010,E06000024,North Somerset,South West,E,18792.0
2011,E06000024,North Somerset,South West,E,19318.0
2012,E06000024,North Somerset,South West,E,19859.0
2013,E06000024,North Somerset,South West,E,20415.0
2014,E06000024,North Somerset,South West,E,20986.0
2015,E06000024,North Somerset,South West,E,21574.0
2016,E06000024,North Somerset,South West,E,22221.0
2017,E06000024,North Somerset,South West,E,22888.0
2018,E06000024,North Somerset,South West,E,23575.0
2019,E06000024,North Somerset,South West,E,24282.0
2020,E06000024,North Somerset,South West,E,25010.0
2021,E06000024,North Somerset,South West,E,25761.0
2022,E06000024,North Somerset,South West,E,26533.0
2023,E06000024,North Somerset,South West,E,27329.0
2024,E06000024,North Somerset,South West,E,28149.0
2010,E06000025,South Gloucestershire,South West,E,26330.0
2011,E06000025,South Gloucestershire,South West,E,27068.0
2012,E06000025,South Gloucestershire,South West,E,27826.0
2013,E06000025,South Gloucestershire,South West,E,28605.0
2014,E06000025,South Gloucestershire,South West,E,29406.0
2015,E06000025,South Gloucestershire,South West,E,30229.0
2016,E06000025,South Gloucestershire,South West,E,31136.0
2017,E06000025,South Gloucestershire,South West,E,32070.0
2018,E06000025,South Gloucestershire,South West,E,33032.0
2019,E06000025,South Gloucestershire,South West,E,34023.0
2020,E06000025,South Gloucestershire,South West,E,35043.0
2021,E06000025,South Gloucestershire,South West,E,36095.0
2022,E06000025,South Gloucestershire,South West,E,37178.0
2023,E06000025,South Gloucestershire,South West,E,38293.0
2024,E06000025,South Gloucestershire,South West,E,39442.0
2010,E06000026,Plymouth,South West,E,24509.0
2011,E06000026,Plymouth,South West,E,25195.0
2012,E06000026,Plymouth,South West,E,25901.0
2013,E06000026,Plymouth,South West,E,26626.0
2014,E06000026,Plymouth,South West,E,27372.0
2015,E06000026,Plymouth,South West,E,28138.0
2016,E06000026,Plymouth,South West,E,28983.0
2017,E06000026,Plymouth,South West,E,29852.0
2018,E06000026,Plymouth,South West,E,30748.0
2019,E06000026,Plymouth,South West,E,31670.0
2020,E06000026,Plymouth,South West,E,32620.0
2021,E06000026,Plymouth,South West,E,33599.0
2022,E06000026,Plymouth,South West,E,34607.0
2023,E06000026,Plymouth,South West,E,35645.0
2024,E06000026,Plymouth,South West,E,36714.0
2010,E06000027,Torbay,South West,E,25780.0
2011,E06000027,Torbay,South West,E,26502.0
2012,E06000027,Torbay,South West,E,27244.0
2013,E06000027,Torbay,South West,E,28007.0
2014,E06000027,Torbay,South West,E,28791.0
2015,E06000027,Torbay,South West,E,29597.0
2016,E06000027,Torbay,South West,E,30484.0
2017,E06000027,Torbay,South West,E,31399.0
2018,E06000027,Torbay,South West,E,32341.0
2019,E06000027,Torbay,South West,E,33311.0
2020,E06000027,Torbay,South West,E,34311.0
2021,E06000027,Torbay,South West,E,35340.0
2022,E06000027,Torbay,South West,E,36400.0
2023,E06000027,Torbay,South West,E,37492.0
2024,E06000027,Torbay,South West,E,38617.0
2010,E06000030,Swindon,South West,E,23569.0
2011,E06000030,Swindon,South West,E,24229.0
2012,E06000030,Swindon,South West,E,24908.0
2013,E06000030,Swindon,South West,E,25605.0
2014,E06000030,Swindon,South West,E,26322.0
2015,E06000030,Swindon,South West,E,27059.0
2016,E06000030,Swindon,South West,E,27870.0
2017,E06000030,Swindon,South West,E,28707.0
2018,E06000030,Swindon,South West,E,29568.0
2019,E06000030,Swindon,South West,E,30455.0
2020,E06000030,Swindon,South West,E,31368.0
2021,E06000030,Swindon,South West,E,32309.0
2022,E06000030,Swindon,South West,E,33279.0
2023,E06000030,Swindon,South West,E,34277.0
2024,E06000030,Swindon,South West,E,35305.0
2010,E06000031,Peterborough,East of England,E,26293.0
2011,E06000031,Peterborough,East of England,E,27029.0
2012,E06000031,Peterborough,East of England,E,27786.0
2013,E06000031,Peterborough,East of England,E,28564.0
2014,E06000031,Peterborough,East of England,E,29364.0
2015,E06000031,Peterborough,East of England,E,30186.0
2016,E06000031,Peterborough,East of England,E,31092.0
2017,E06000031,Peterborough,East of England,E,32025.0
2018,E06000031,Peterborough,East of England,E,32986.0
2019,E06000031,Peterborough,East of England,E,33975.0
2020,E06000031,Peterborough,East of England,E,34994.0
2021,E06000031,Peterborough,East of England,E,36044.0
2022,E06000031,Peterborough,East of England,E,37126.0
2023,E06000031,Peterborough,East of England,E,38239.0
2024,E06000031,Peterborough,East of England,E,39386.0
2010,E06000032,Luton,East of England,E,27016.0
2011,E06000032,Luton,East of England,E,27772.0
2012,E06000032,Luton,East of England,E,28550.0
2013,E06000032,Luton,East of England,E,29349.0
2014,E06000032,Luton,East of England,E,30171.0
2015,E06000032,Luton,East of England,E,31016.0
2016,E06000032,Luton,East of England,E,31947.0
2017,E06000032,Luton,East of England,E,32905.0
2018,E06000032,Luton,East of England,E,33892.0
2019,E06000032,Luton,East of England,E,34909.0
2020,E06000032,Luton,East of England,E,35956.0
2021,E06000032,Luton,East of England,E,37035.0
2022,E06000032,Luton,East of England,E,38146.0
2023,E06000032,Luton,East of England,E,39291.0
2024,E06000032,Luton,East of England,E,40469.0
2010,E06000033,Southend-on-Sea,East of England,E,22262.0
2011,E06000033,Southend-on-Sea,East of England,E,22885.0
2012,E06000033,Southend-on-Sea,East of England,E,23526.0
2013,E06000033,Southend-on-Sea,East of England,E,24185.0
2014,E06000033,Southend-on-Sea,East of England,E,24862.0
2015,E06000033,Southend-on-Sea,East of England,E,25558.0
2016,E06000033,Southend-on-Sea,East of England,E,26324.0
2017,E06000033,Southend-on-Sea,East of England,E,27114.0
2018,E06000033,Southend-on-Sea,East of England,E,27927.0
2019,E06000033,Southend-on-Sea,East of England,E,28765.0
2020,E06000033,Southend-on-Sea,East of England,E,29628.0
2021,E06000033,Southend-on-Sea,East of England,E,30517.0
2022,E06000033,Southend-on-Sea,East of England,E,31433.0
2023,E06000033,Southend-on-Sea,East of England,E,32375.0
2024,E06000033,Southend-on-Sea,East of England,E,33347.0
2010,E06000034,Thurrock,East of England,E,23818.0
2011,E06000034,Thurrock,East of England,E,24484.0
2012,E06000034,Thurrock,East of England,E,25170.0
2013,E06000034,Thurrock,East of England,E,25875.0
2014,E06000034,Thurrock,East of England,E,26599.0
2015,E06000034,Thurrock,East of England,E,27344.0
2016,E06000034,Thurrock,East of England,E,28165.0
2017,E06000034,Thurrock,East of England,E,29009.0
2018,E06000034,Thurrock,East of England,E,29880.0
2019,E06000034,Thurrock,East of England,E,30776.0
2020,E06000034,Thurrock,East of England,E,31699.0
2021,E06000034,Thurrock,East of England,E,32650.0
2022,E06000034,Thurrock,East of England,E,33630.0
2023,E06000034,Thurrock,East of England,E,34639.0
2024,E06000034,Thurrock,East of England,E,35678.0
2010,E06000035,Medway,South East,E,25706.0
2011,E06000035,Medway,South East,E,26426.0
2012,E06000035,Medway,South East,E,27166.0
2013,E06000035,Medway,South East,E,27926.0
2014,E06000035,Medway,South East,E,28708.0
2015,E06000035,Medway,South East,E,29512.0
2016,E06000035,Medway,South East,E,30397.0
2017,E06000035,Medway,South East,E,31309.0
2018,E06000035,Medway,South East,E,32248.0
2019,E06000035,Medway,South East,E,33216.0
2020,E06000035,Medway,South East,E,34212.0
2021,E06000035,Medway,South East,E,35238.0
2022,E06000035,Medway,South East,E,36296.0
2023,E06000035,Medway,South East,E,37384.0
2024,E06000035,Medway,South East,E,38506.0
2010,E06000036,Bracknell Forest,South East,E,23288.0
2011,E06000036,Bracknell Forest,South East,E,23940.0
2012,E06000036,Bracknell Forest,South East,E,24610.0
2013,E06000036,Bracknell Forest,South East,E,25299.0
2014,E06000036,Bracknell Forest,South East,E,26008.0
2015,E06000036,Bracknell Forest,South East,E,26736.0
2016,E06000036,Bracknell Forest,South East,E,27539.0
2017,E06000036,Bracknell Forest,South East,E,28365.0
2018,E06000036,Bracknell Forest,South East,E,29216.0
