date,lad_code,lad_name,region,nation,average_price
2013-06-01,E06000001,Hartlepool,North East,E,106529.0
2013-07-01,E06000001,Hartlepool,North East,E,106932.0
2013-08-01,E06000001,Hartlepool,North East,E,107165.0
2013-09-01,E06000001,Hartlepool,North East,E,107545.0
2013-10-01,E06000001,Hartlepool,North East,E,107927.0
2013-11-01,E06000001,Hartlepool,North East,E,107206.0
2013-12-01,E06000001,Hartlepool,North East,E,107111.0
2014-01-01,E06000001,Hartlepool,North East,E,107336.0
2014-02-01,E06000001,Hartlepool,North East,E,107582.0
2014-03-01,E06000001,Hartlepool,North East,E,107956.0
2014-04-01,E06000001,Hartlepool,North East,E,108349.0
2014-05-01,E06000001,Hartlepool,North East,E,109240.0
2014-06-01,E06000001,Hartlepool,North East,E,109642.0
2014-07-01,E06000001,Hartlepool,North East,E,109788.0
2014-08-01,E06000001,Hartlepool,North East,E,109404.0
2014-09-01,E06000001,Hartlepool,North East,E,109116.0
2014-10-01,E06000001,Hartlepool,North East,E,109609.0
2014-11-01,E06000001,Hartlepool,North East,E,110322.0
2014-12-01,E06000001,Hartlepool,North East,E,111239.0
2015-01-01,E06000001,Hartlepool,North East,E,111172.0
2015-02-01,E06000001,Hartlepool,North East,E,111323.0
2015-03-01,E06000001,Hartlepool,North East,E,111703.0
2015-04-01,E06000001,Hartlepool,North East,E,112847.0
2015-05-01,E06000001,Hartlepool,North East,E,113178.0
2015-06-01,E06000001,Hartlepool,North East,E,114124.0
2015-07-01,E06000001,Hartlepool,North East,E,114482.0
2015-08-01,E06000001,Hartlepool,North East,E,115267.0
2015-09-01,E06000001,Hartlepool,North East,E,116001.0
2015-10-01,E06000001,Hartlepool,North East,E,116364.0
2015-11-01,E06000001,Hartlepool,North East,E,116210.0
2015-12-01,E06000001,Hartlepool,North East,E,116383.0
2016-01-01,E06000001,Hartlepool,North East,E,117328.0
2016-02-01,E06000001,Hartlepool,North East,E,118010.0
2016-03-01,E06000001,Hartlepool,North East,E,118113.0
2016-04-01,E06000001,Hartlepool,North East,E,118256.0
2016-05-01,E06000001,Hartlepool,North East,E,117785.0
2016-06-01,E06000001,Hartlepool,North East,E,118721.0
2016-07-01,E06000001,Hartlepool,North East,E,119415.0
2016-08-01,E06000001,Hartlepool,North East,E,119652.0
2016-09-01,E06000001,Hartlepool,North East,E,120042.0
2016-10-01,E06000001,Hartlepool,North East,E,119366.0
2016-11-01,E06000001,Hartlepool,North East,E,119447.0
2016-12-01,E06000001,Hartlepool,North East,E,120347.0
2017-01-01,E06000001,Hartlepool,North East,E,121093.0
2017-02-01,E06000001,Hartlepool,North East,E,121547.0
2017-03-01,E06000001,Hartlepool,North East,E,121845.0
2017-04-01,E06000001,Hartlepool,North East,E,122515.0
2017-05-01,E06000001,Hartlepool,North East,E,122692.0
2017-06-01,E06000001,Hartlepool,North East,E,122233.0
2017-07-01,E06000001,Hartlepool,North East,E,122536.0
2017-08-01,E06000001,Hartlepool,North East,E,123029.0
2017-09-01,E06000001,Hartlepool,North East,E,123858.0
2017-10-01,E06000001,Hartlepool,North East,E,123498.0
2017-11-01,E06000001,Hartlepool,North East,E,123750.0
2017-12-01,E06000001,Hartlepool,North East,E,124025.0
2018-01-01,E06000001,Hartlepool,North East,E,123823.0
2018-02-01,E06000001,Hartlepool,North East,E,124360.0
2018-03-01,E06000001,Hartlepool,North East,E,125021.0
2018-04-01,E06000001,Hartlepool,North East,E,125198.0
2018-05-01,E06000001,Hartlepool,North East,E,126483.0
2018-06-01,E06000001,Hartlepool,North East,E,126647.0
2018-07-01,E06000001,Hartlepool,North East,E,126752.0
2018-08-01,E06000001,Hartlepool,North East,E,126842.0
2018-09-01,E06000001,Hartlepool,North East,E,126771.0
2018-10-01,E06000001,Hartlepool,North East,E,126822.0
2018-11-01,E06000001,Hartlepool,North East,E,126457.0
2018-12-01,E06000001,Hartlepool,North East,E,126683.0
2019-01-01,E06000001,Hartlepool,North East,E,127027.0
2019-02-01,E06000001,Hartlepool,North East,E,126259.0
2019-03-01,E06000001,Hartlepool,North East,E,126527.0
2019-04-01,E06000001,Hartlepool,North East,E,126863.0
2019-05-01,E06000001,Hartlepool,North East,E,127427.0
2019-06-01,E06000001,Hartlepool,North East,E,128325.0
2019-07-01,E06000001,Hartlepool,North East,E,129057.0
2019-08-01,E06000001,Hartlepool,North East,E,129080.0
2019-09-01,E06000001,Hartlepool,North East,E,129046.0
2019-10-01,E06000001,Hartlepool,North East,E,129650.0
2019-11-01,E06000001,Hartlepool,North East,E,129708.0
2019-12-01,E06000001,Hartlepool,North East,E,129435.0
2020-01-01,E06000001,Hartlepool,North East,E,130920.0
2020-02-01,E06000001,Hartlepool,North East,E,131095.0
2020-03-01,E06000001,Hartlepool,North East,E,131114.0
2020-04-01,E06000001,Hartlepool,North East,E,129716.0
2020-05-01,E06000001,Hartlepool,North East,E,129806.0
2020-06-01,E06000001,Hartlepool,North East,E,129003.0
2020-07-01,E06000001,Hartlepool,North East,E,129339.0
2020-08-01,E06000001,Hartlepool,North East,E,130135.0
2020-09-01,E06000001,Hartlepool,North East,E,129986.0
2020-10-01,E06000001,Hartlepool,North East,E,130350.0
2020-11-01,E06000001,Hartlepool,North East,E,131426.0
2020-12-01,E06000001,Hartlepool,North East,E,130546.0
2021-01-01,E06000001,Hartlepool,North East,E,131260.0
2021-02-01,E06000001,Hartlepool,North East,E,131932.0
2021-03-01,E06000001,Hartlepool,North East,E,132965.0
2021-04-01,E06000001,Hartlepool,North East,E,134076.0
2021-05-01,E06000001,Hartlepool,North East,E,134683.0
2021-06-01,E06000001,Hartlepool,North East,E,135499.0
2021-07-01,E06000001,Hartlepool,North East,E,136260.0
2021-08-01,E06000001,Hartlepool,North East,E,137242.0
2021-09-01,E06000001,Hartlepool,North East,E,138527.0
2021-10-01,E06000001,Hartlepool,North East,E,140188.0
2021-11-01,E06000001,Hartlepool,North East,E,141946.0
2021-12-01,E06000001,Hartlepool,North East,E,143509.0
2022-01-01,E06000001,Hartlepool,North East,E,143397.0
2022-02-01,E06000001,Hartlepool,North East,E,143754.0
2022-03-01,E06000001,Hartlepool,North East,E,145404.0
2022-04-01,E06000001,Hartlepool,North East,E,146324.0
2022-05-01,E06000001,Hartlepool,North East,E,146448.0
2022-06-01,E06000001,Hartlepool,North East,E,147689.0
2022-07-01,E06000001,Hartlepool,North East,E,147843.0
2022-08-01,E06000001,Hartlepool,North East,E,147842.0
2022-09-01,E06000001,Hartlepool,North East,E,148990.0
2022-10-01,E06000001,Hartlepool,North East,E,148631.0
2022-11-01,E06000001,Hartlepool,North East,E,147937.0
2022-12-01,E06000001,Hartlepool,North East,E,148832.0
2023-01-01,E06000001,Hartlepool,North East,E,148773.0
2023-02-01,E06000001,Hartlepool,North East,E,148770.0
2023-03-01,E06000001,Hartlepool,North East,E,148494.0
2023-04-01,E06000001,Hartlepool,North East,E,148287.0
2023-05-01,E06000001,Hartlepool,North East,E,147958.0
2023-06-01,E06000001,Hartlepool,North East,E,147537.0
2023-07-01,E06000001,Hartlepool,North East,E,147252.0
2023-08-01,E06000001,Hartlepool,North East,E,146950.0
2023-09-01,E06000001,Hartlepool,North East,E,146421.0
2023-10-01,E06000001,Hartlepool,North East,E,146049.0
2023-11-01,E06000001,Hartlepool,North East,E,144611.0
2023-12-01,E06000001,Hartlepool,North East,E,144910.0
2024-01-01,E06000001,Hartlepool,North East,E,145486.0
2024-02-01,E06000001,Hartlepool,North East,E,145804.0
2024-03-01,E06000001,Hartlepool,North East,E,146299.0
2024-04-01,E06000001,Hartlepool,North East,E,146816.0
2024-05-01,E06000001,Hartlepool,North East,E,146784.0
2024-06-01,E06000001,Hartlepool,North East,E,146858.0
2010-01-01,E06000002,Middlesbrough,North East,E,111161.0
2010-02-01,E06000002,Middlesbrough,North East,E,111754.0
2010-03-01,E06000002,Middlesbrough,North East,E,111334.0
2010-04-01,E06000002,Middlesbrough,North East,E,111840.0
2010-05-01,E06000002,Middlesbrough,North East,E,111842.0
2010-06-01,E06000002,Middlesbrough,North East,E,112362.0
2010-07-01,E06000002,Middlesbrough,North East,E,112321.0
2010-08-01,E06000002,Middlesbrough,North East,E,111842.0
2010-09-01,E06000002,Middlesbrough,North East,E,111439.0
2010-10-01,E06000002,Middlesbrough,North East,E,111739.0
2010-11-01,E06000002,Middlesbrough,North East,E,112127.0
2010-12-01,E06000002,Middlesbrough,North East,E,112027.0
2011-01-01,E06000002,Middlesbrough,North East,E,112577.0
2011-02-01,E06000002,Middlesbrough,North East,E,112157.0
2011-03-01,E06000002,Middlesbrough,North East,E,112410.0
2011-04-01,E06000002,Middlesbrough,North East,E,112181.0
2011-05-01,E06000002,Middlesbrough,North East,E,112187.0
2011-06-01,E06000002,Middlesbrough,North East,E,112488.0
2011-07-01,E06000002,Middlesbrough,North East,E,112406.0
2011-08-01,E06000002,Middlesbrough,North East,E,112524.0
2011-09-01,E06000002,Middlesbrough,North East,E,113233.0
2011-10-01,E06000002,Middlesbrough,North East,E,113271.0
2011-11-01,E06000002,Middlesbrough,North East,E,113911.0
2011-12-01,E06000002,Middlesbrough,North East,E,113713.0
2012-01-01,E06000002,Middlesbrough,North East,E,114225.0
2012-02-01,E06000002,Middlesbrough,North East,E,115132.0
2012-03-01,E06000002,Middlesbrough,North East,E,114354.0
2012-04-01,E06000002,Middlesbrough,North East,E,114298.0
2012-05-01,E06000002,Middlesbrough,North East,E,114833.0
2012-06-01,E06000002,Middlesbrough,North East,E,115032.0
2012-07-01,E06000002,Middlesbrough,North East,E,115481.0
2012-08-01,E06000002,Middlesbrough,North East,E,115508.0
2012-09-01,E06000002,Middlesbrough,North East,E,115835.0
2012-10-01,E06000002,Middlesbrough,North East,E,116057.0
2012-11-01,E06000002,Middlesbrough,North East,E,116858.0
2012-12-01,E06000002,Middlesbrough,North East,E,117263.0
2013-01-01,E06000002,Middlesbrough,North East,E,117705.0
2013-02-01,E06000002,Middlesbrough,North East,E,117818.0
2013-03-01,E06000002,Middlesbrough,North East,E,117897.0
2013-04-01,E06000002,Middlesbrough,North East,E,118000.0
2013-05-01,E06000002,Middlesbrough,North East,E,118471.0
2013-06-01,E06000002,Middlesbrough,North East,E,118580.0
2013-07-01,E06000002,Middlesbrough,North East,E,119006.0
2013-08-01,E06000002,Middlesbrough,North East,E,120237.0
2013-09-01,E06000002,Middlesbrough,North East,E,120932.0
2013-10-01,E06000002,Middlesbrough,North East,E,121087.0
2013-11-01,E06000002,Middlesbrough,North East,E,121938.0
2013-12-01,E06000002,Middlesbrough,North East,E,122057.0
2014-01-01,E06000002,Middlesbrough,North East,E,121430.0
2014-02-01,E06000002,Middlesbrough,North East,E,121274.0
2014-03-01,E06000002,Middlesbrough,North East,E,120727.0
2014-04-01,E06000002,Middlesbrough,North East,E,120870.0
2014-05-01,E06000002,Middlesbrough,North East,E,121181.0
2014-06-01,E06000002,Middlesbrough,North East,E,122251.0
2014-07-01,E06000002,Middlesbrough,North East,E,122707.0
2014-08-01,E06000002,Middlesbrough,North East,E,122913.0
2014-09-01,E06000002,Middlesbrough,North East,E,123605.0
2014-10-01,E06000002,Middlesbrough,North East,E,122890.0
2014-11-01,E06000002,Middlesbrough,North East,E,123307.0
2014-12-01,E06000002,Middlesbrough,North East,E,123974.0
2015-01-01,E06000002,Middlesbrough,North East,E,123596.0
2015-02-01,E06000002,Middlesbrough,North East,E,124439.0
2015-03-01,E06000002,Middlesbrough,North East,E,124909.0
2015-04-01,E06000002,Middlesbrough,North East,E,125026.0
2015-05-01,E06000002,Middlesbrough,North East,E,125637.0
2015-06-01,E06000002,Middlesbrough,North East,E,127030.0
2015-07-01,E06000002,Middlesbrough,North East,E,127435.0
2015-08-01,E06000002,Middlesbrough,North East,E,127873.0
2015-09-01,E06000002,Middlesbrough,North East,E,127972.0
2015-10-01,E06000002,Middlesbrough,North East,E,127884.0
2015-11-01,E06000002,Middlesbrough,North East,E,128604.0
2015-12-01,E06000002,Middlesbrough,North East,E,128512.0
2016-01-01,E06000002,Middlesbrough,North East,E,128869.0
2016-02-01,E06000002,Middlesbrough,North East,E,128960.0
2016-03-01,E06000002,Middlesbrough,North East,E,129515.0
2016-04-01,E06000002,Middlesbrough,North East,E,130002.0
2016-05-01,E06000002,Middlesbrough,North East,E,130836.0
2016-06-01,E06000002,Middlesbrough,North East,E,130913.0
2016-07-01,E06000002,Middlesbrough,North East,E,131108.0
2016-08-01,E06000002,Middlesbrough,North East,E,130954.0
2016-09-01,E06000002,Middlesbrough,North East,E,131063.0
2016-10-01,E06000002,Middlesbrough,North East,E,131577.0
2016-11-01,E06000002,Middlesbrough,North East,E,132282.0
2016-12-01,E06000002,Middlesbrough,North East,E,132155.0
2017-01-01,E06000002,Middlesbrough,North East,E,132919.0
2017-02-01,E06000002,Middlesbrough,North East,E,133931.0
2017-03-01,E06000002,Middlesbrough,North East,E,134475.0
2017-04-01,E06000002,Middlesbrough,North East,E,135764.0
2017-05-01,E06000002,Middlesbrough,North East,E,135709.0
2017-06-01,E06000002,Middlesbrough,North East,E,135415.0
2017-07-01,E06000002,Middlesbrough,North East,E,134851.0
2017-08-01,E06000002,Middlesbrough,North East,E,135950.0
2017-09-01,E06000002,Middlesbrough,North East,E,136625.0
2017-10-01,E06000002,Middlesbrough,North East,E,136938.0
2017-11-01,E06000002,Middlesbrough,North East,E,137425.0
2017-12-01,E06000002,Middlesbrough,North East,E,137189.0
2018-01-01,E06000002,Middlesbrough,North East,E,138800.0
2018-02-01,E06000002,Middlesbrough,North East,E,139215.0
2018-03-01,E06000002,Middlesbrough,North East,E,139621.0
2018-04-01,E06000002,Middlesbrough,North East,E,140352.0
2018-05-01,E06000002,Middlesbrough,North East,E,140958.0
2018-06-01,E06000002,Middlesbrough,North East,E,141429.0
2018-07-01,E06000002,Middlesbrough,North East,E,141363.0
2018-08-01,E06000002,Middlesbrough,North East,E,141968.0
2018-09-01,E06000002,Middlesbrough,North East,E,143332.0
2018-10-01,E06000002,Middlesbrough,North East,E,144419.0
2018-11-01,E06000002,Middlesbrough,North East,E,145648.0
2018-12-01,E06000002,Middlesbrough,North East,E,145733.0
2019-01-01,E06000002,Middlesbrough,North East,E,145556.0
2019-02-01,E06000002,Middlesbrough,North East,E,145852.0
2019-03-01,E06000002,Middlesbrough,North East,E,146247.0
2019-04-01,E06000002,Middlesbrough,North East,E,147217.0
2019-05-01,E06000002,Middlesbrough,North East,E,146651.0
2019-06-01,E06000002,Middlesbrough,North East,E,147864.0
2019-07-01,E06000002,Middlesbrough,North East,E,148146.0
2019-08-01,E06000002,Middlesbrough,North East,E,148280.0
2019-09-01,E06000002,Middlesbrough,North East,E,148087.0
2019-10-01,E06000002,Middlesbrough,North East,E,147539.0
2019-11-01,E06000002,Middlesbrough,North East,E,148366.0
2019-12-01,E06000002,Middlesbrough,North East,E,148778.0
2020-01-01,E06000002,Middlesbrough,North East,E,148430.0
2020-02-01,E06000002,Middlesbrough,North East,E,148080.0
2020-03-01,E06000002,Middlesbrough,North East,E,148264.0
2020-04-01,E06000002,Middlesbrough,North East,E,148823.0
2020-05-01,E06000002,Middlesbrough,North East,E,148307.0
2020-06-01,E06000002,Middlesbrough,North East,E,147104.0
2020-07-01,E06000002,Middlesbrough,North East,E,147337.0
2020-08-01,E06000002,Middlesbrough,North East,E,147554.0
2020-09-01,E06000002,Middlesbrough,North East,E,146434.0
2020-10-01,E06000002,Middlesbrough,North East,E,146771.0
2020-11-01,E06000002,Middlesbrough,North East,E,147011.0
2020-12-01,E06000002,Middlesbrough,North East,E,147764.0
2021-01-01,E06000002,Middlesbrough,North East,E,150063.0
2021-02-01,E06000002,Middlesbrough,North East,E,151985.0
2021-03-01,E06000002,Middlesbrough,North East,E,153128.0
2021-04-01,E06000002,Middlesbrough,North East,E,153795.0
2021-05-01,E06000002,Middlesbrough,North East,E,156613.0
2021-06-01,E06000002,Middlesbrough,North East,E,157985.0
2021-07-01,E06000002,Middlesbrough,North East,E,159342.0
2021-08-01,E06000002,Middlesbrough,North East,E,160688.0
2021-09-01,E06000002,Middlesbrough,North East,E,162180.0
2021-10-01,E06000002,Middlesbrough,North East,E,163476.0
2021-11-01,E06000002,Middlesbrough,North East,E,164517.0
2021-12-01,E06000002,Middlesbrough,North East,E,165581.0
2022-01-01,E06000002,Middlesbrough,North East,E,165975.0
2022-02-01,E06000002,Middlesbrough,North East,E,166052.0
2022-03-01,E06000002,Middlesbrough,North East,E,166022.0
2022-04-01,E06000002,Middlesbrough,North East,E,166505.0
2022-05-01,E06000002,Middlesbrough,North East,E,166762.0
2022-06-01,E06000002,Middlesbrough,North East,E,168125.0
2022-07-01,E06000002,Middlesbrough,North East,E,166878.0
2022-08-01,E06000002,Middlesbrough,North East,E,167982.0
2022-09-01,E06000002,Middlesbrough,North East,E,169192.0
2022-10-01,E06000002,Middlesbrough,North East,E,168301.0
2022-11-01,E06000002,Middlesbrough,North East,E,168505.0
2022-12-01,E06000002,Middlesbrough,North East,E,168692.0
2023-01-01,E06000002,Middlesbrough,North East,E,167719.0
2023-02-01,E06000002,Middlesbrough,North East,E,167147.0
2023-03-01,E06000002,Middlesbrough,North East,E,166368.0
2023-04-01,E06000002,Middlesbrough,North East,E,167382.0
2023-05-01,E06000002,Middlesbrough,North East,E,167887.0
2023-06-01,E06000002,Middlesbrough,North East,E,168606.0
2023-07-01,E06000002,Middlesbrough,North East,E,168978.0
2023-08-01,E06000002,Middlesbrough,North East,E,168180.0
2023-09-01,E06000002,Middlesbrough,North East,E,167765.0
2023-10-01,E06000002,Middlesbrough,North East,E,167990.0
2023-11-01,E06000002,Middlesbrough,North East,E,167137.0
2023-12-01,E06000002,Middlesbrough,North East,E,167501.0
2024-01-01,E06000002,Middlesbrough,North East,E,167769.0
2024-02-01,E06000002,Middlesbrough,North East,E,167953.0
2024-03-01,E06000002,Middlesbrough,North East,E,168823.0
2024-04-01,E06000002,Middlesbrough,North East,E,169528.0
2024-05-01,E06000002,Middlesbrough,North East,E,169722.0
2024-06-01,E06000002,Middlesbrough,North East,E,170889.0
2010-01-01,E06000003,Redcar and Cleveland,North East,E,110828.0
2010-02-01,E06000003,Redcar and Cleveland,North East,E,110715.0
2010-03-01,E06000003,Redcar and Cleveland,North East,E,110299.0
2010-04-01,E06000003,Redcar and Cleveland,North East,E,111310.0
2010-05-01,E06000003,Redcar and Cleveland,North East,E,111070.0
2010-06-01,E06000003,Redcar and Cleveland,North East,E,111007.0
2010-07-01,E06000003,Redcar and Cleveland,North East,E,111836.0
2010-08-01,E06000003,Redcar and Cleveland,North East,E,111381.0
2010-09-01,E06000003,Redcar and Cleveland,North East,E,111977.0
2010-10-01,E06000003,Redcar and Cleveland,North East,E,111663.0
2010-11-01,E06000003,Redcar and Cleveland,North East,E,112468.0
2010-12-01,E06000003,Redcar and Cleveland,North East,E,111835.0
2011-01-01,E06000003,Redcar and Cleveland,North East,E,111380.0
2011-02-01,E06000003,Redcar and Cleveland,North East,E,111430.0
2011-03-01,E06000003,Redcar and Cleveland,North East,E,112117.0
2011-04-01,E06000003,Redcar and Cleveland,North East,E,112385.0
2011-05-01,E06000003,Redcar and Cleveland,North East,E,112524.0
2011-06-01,E06000003,Redcar and Cleveland,North East,E,113377.0
2011-07-01,E06000003,Redcar and Cleveland,North East,E,114584.0
2011-08-01,E06000003,Redcar and Cleveland,North East,E,115161.0
2011-09-01,E06000003,Redcar and Cleveland,North East,E,115180.0
2011-10-01,E06000003,Redcar and Cleveland,North East,E,115287.0
2011-11-01,E06000003,Redcar and Cleveland,North East,E,115018.0
2011-12-01,E06000003,Redcar and Cleveland,North East,E,115350.0
2012-01-01,E06000003,Redcar and Cleveland,North East,E,114934.0
2012-02-01,E06000003,Redcar and Cleveland,North East,E,115460.0
2012-03-01,E06000003,Redcar and Cleveland,North East,E,116624.0
2012-04-01,E06000003,Redcar and Cleveland,North East,E,117231.0
2012-05-01,E06000003,Redcar and Cleveland,North East,E,117317.0
2012-06-01,E06000003,Redcar and Cleveland,North East,E,117844.0
2012-07-01,E06000003,Redcar and Cleveland,North East,E,118860.0
2012-08-01,E06000003,Redcar and Cleveland,North East,E,119861.0
2012-09-01,E06000003,Redcar and Cleveland,North East,E,119710.0
2012-10-01,E06000003,Redcar and Cleveland,North East,E,120239.0
2012-11-01,E06000003,Redcar and Cleveland,North East,E,120469.0
2012-12-01,E06000003,Redcar and Cleveland,North East,E,121137.0
2013-01-01,E06000003,Redcar and Cleveland,North East,E,121615.0
2013-02-01,E06000003,Redcar and Cleveland,North East,E,120840.0
2013-03-01,E06000003,Redcar and Cleveland,North East,E,120984.0
2013-04-01,E06000003,Redcar and Cleveland,North East,E,121377.0
2013-05-01,E06000003,Redcar and Cleveland,North East,E,121028.0
2013-06-01,E06000003,Redcar and Cleveland,North East,E,121596.0
2013-07-01,E06000003,Redcar and Cleveland,North East,E,121205.0
2013-08-01,E06000003,Redcar and Cleveland,North East,E,121145.0
2013-09-01,E06000003,Redcar and Cleveland,North East,E,122061.0
2013-10-01,E06000003,Redcar and Cleveland,North East,E,121961.0
2013-11-01,E06000003,Redcar and Cleveland,North East,E,122530.0
2013-12-01,E06000003,Redcar and Cleveland,North East,E,122031.0
2014-01-01,E06000003,Redcar and Cleveland,North East,E,123296.0
2014-02-01,E06000003,Redcar and Cleveland,North East,E,123463.0
2014-03-01,E06000003,Redcar and Cleveland,North East,E,123817.0
2014-04-01,E06000003,Redcar and Cleveland,North East,E,124210.0
2014-05-01,E06000003,Redcar and Cleveland,North East,E,124805.0
2014-06-01,E06000003,Redcar and Cleveland,North East,E,124406.0
2014-07-01,E06000003,Redcar and Cleveland,North East,E,124715.0
2014-08-01,E06000003,Redcar and Cleveland,North East,E,124719.0
2014-09-01,E06000003,Redcar and Cleveland,North East,E,124241.0
2014-10-01,E06000003,Redcar and Cleveland,North East,E,125014.0
2014-11-01,E06000003,Redcar and Cleveland,North East,E,125161.0
2014-12-01,E06000003,Redcar and Cleveland,North East,E,125589.0
2015-01-01,E06000003,Redcar and Cleveland,North East,E,125988.0
2015-02-01,E06000003,Redcar and Cleveland,North East,E,126145.0
2015-03-01,E06000003,Redcar and Cleveland,North East,E,127401.0
2015-04-01,E06000003,Redcar and Cleveland,North East,E,127698.0
2015-05-01,E06000003,Redcar and Cleveland,North East,E,127271.0
2015-06-01,E06000003,Redcar and Cleveland,North East,E,127398.0
2015-07-01,E06000003,Redcar and Cleveland,North East,E,127957.0
2015-08-01,E06000003,Redcar and Cleveland,North East,E,128534.0
2015-09-01,E06000003,Redcar and Cleveland,North East,E,128330.0
2015-10-01,E06000003,Redcar and Cleveland,North East,E,129101.0
2015-11-01,E06000003,Redcar and Cleveland,North East,E,128571.0
2015-12-01,E06000003,Redcar and Cleveland,North East,E,129447.0
2016-01-01,E06000003,Redcar and Cleveland,North East,E,129130.0
2016-02-01,E06000003,Redcar and Cleveland,North East,E,129344.0
2016-03-01,E06000003,Redcar and Cleveland,North East,E,130187.0
2016-04-01,E06000003,Redcar and Cleveland,North East,E,130571.0
2016-05-01,E06000003,Redcar and Cleveland,North East,E,131300.0
2016-06-01,E06000003,Redcar and Cleveland,North East,E,131934.0
2016-07-01,E06000003,Redcar and Cleveland,North East,E,132905.0
2016-08-01,E06000003,Redcar and Cleveland,North East,E,133769.0
2016-09-01,E06000003,Redcar and Cleveland,North East,E,133876.0
2016-10-01,E06000003,Redcar and Cleveland,North East,E,134530.0
2016-11-01,E06000003,Redcar and Cleveland,North East,E,134097.0
2016-12-01,E06000003,Redcar and Cleveland,North East,E,134403.0
2017-01-01,E06000003,Redcar and Cleveland,North East,E,135154.0
2017-02-01,E06000003,Redcar and Cleveland,North East,E,135561.0
2017-03-01,E06000003,Redcar and Cleveland,North East,E,136128.0
2017-04-01,E06000003,Redcar and Cleveland,North East,E,136359.0
2017-05-01,E06000003,Redcar and Cleveland,North East,E,137281.0
2017-06-01,E06000003,Redcar and Cleveland,North East,E,137583.0
2017-07-01,E06000003,Redcar and Cleveland,North East,E,137687.0
2017-08-01,E06000003,Redcar and Cleveland,North East,E,138492.0
2017-09-01,E06000003,Redcar and Cleveland,North East,E,138108.0
2017-10-01,E06000003,Redcar and Cleveland,North East,E,138714.0
2017-11-01,E06000003,Redcar and Cleveland,North East,E,138519.0
2017-12-01,E06000003,Redcar and Cleveland,North East,E,139533.0
2018-01-01,E06000003,Redcar and Cleveland,North East,E,139745.0
2018-02-01,E06000003,Redcar and Cleveland,North East,E,140166.0
2018-03-01,E06000003,Redcar and Cleveland,North East,E,140735.0
2018-04-01,E06000003,Redcar and Cleveland,North East,E,140069.0
2018-05-01,E06000003,Redcar and Cleveland,North East,E,140077.0
2018-06-01,E06000003,Redcar and Cleveland,North East,E,140979.0
2018-07-01,E06000003,Redcar and Cleveland,North East,E,141793.0
2018-08-01,E06000003,Redcar and Cleveland,North East,E,142299.0
2018-09-01,E06000003,Redcar and Cleveland,North East,E,141934.0
2018-10-01,E06000003,Redcar and Cleveland,North East,E,142602.0
2018-11-01,E06000003,Redcar and Cleveland,North East,E,143343.0
2018-12-01,E06000003,Redcar and Cleveland,North East,E,143727.0
2019-01-01,E06000003,Redcar and Cleveland,North East,E,144749.0
2019-02-01,E06000003,Redcar and Cleveland,North East,E,144740.0
2019-03-01,E06000003,Redcar and Cleveland,North East,E,144825.0
