lad_code,lad_name,region,nation,current_price,median_annual_earnings,price_to_income_ratio,bank_rate_scenario,mortgage_rate_pct,scenario,prob_negative_equity,monthly_drift,monthly_vol
E08000002,Bury,North West,E,203146.0,33040.0,6.148486682808716,2.75,4.044,minus_1pct,0.0,0.004806,0.007667
E08000003,Manchester,North West,E,206527.0,28419.0,7.267215595200394,2.75,4.044,minus_1pct,0.0,0.003141,0.00794
E08000004,Oldham,North West,E,219502.0,37719.0,5.819401362708449,2.75,4.044,minus_1pct,0.0,0.004499,0.006995
E08000005,Rochdale,North West,E,209609.0,32868.0,6.377297067056103,2.75,4.044,minus_1pct,0.0,0.004518,0.008686
E08000006,Salford,North West,E,246805.0,35366.0,6.978595260985127,2.75,4.044,minus_1pct,0.0,0.004197,0.007423
E08000007,Stockport,North West,E,194232.0,31774.0,6.112922515264052,2.75,4.044,minus_1pct,0.0,0.003392,0.0073
E08000008,Tameside,North West,E,238390.0,32775.0,7.273531655225019,2.75,4.044,minus_1pct,0.0,0.004231,0.008856
E08000009,Trafford,North West,E,241173.0,31755.0,7.594803967879074,2.75,4.044,minus_1pct,0.0,0.00328,0.006999
E08000010,Wigan,North West,E,220731.0,37943.0,5.817436681337796,2.75,4.044,minus_1pct,0.0,0.00289,0.007051
E08000011,Knowsley,North West,E,236932.0,36645.0,6.46560240141902,2.75,4.044,minus_1pct,0.0,0.004606,0.007334
E08000012,Liverpool,North West,E,181476.0,26605.0,6.821123848900583,2.75,4.044,minus_1pct,0.0,0.003754,0.008674
E08000013,St. Helens,North West,E,199794.0,31397.0,6.363474217281906,2.75,4.044,minus_1pct,0.0,0.003345,0.008353
E08000014,Sefton,North West,E,215288.0,35321.0,6.095184168058662,2.75,4.044,minus_1pct,0.0,0.004493,0.008695
E08000015,Wirral,North West,E,210721.0,31485.0,6.69274257582976,2.75,4.044,minus_1pct,0.0,0.003648,0.007553
E07000117,Chorley,North West,E,202288.0,37801.0,5.351392820295759,2.75,4.044,minus_1pct,0.0,0.003446,0.007188
E07000118,Fylde,North West,E,278952.0,36392.0,7.6652011431083755,2.75,4.044,minus_1pct,0.0,0.005169,0.008717
E07000119,Hyndburn,North West,E,195732.0,36150.0,5.414439834024896,2.75,4.044,minus_1pct,0.0,0.004263,0.007084
E07000120,Lancaster,North West,E,194709.0,32824.0,5.9319095783573,2.75,4.044,minus_1pct,0.0,0.004138,0.009035
E07000121,Pendle,North West,E,208657.0,28888.0,7.222964552755469,2.75,4.044,minus_1pct,0.0,0.003383,0.006727
E07000122,Preston,North West,E,190702.0,38177.0,4.995206537967887,2.75,4.044,minus_1pct,0.0,0.004378,0.006514
E07000123,Ribble Valley,North West,E,229148.0,35103.0,6.5278751103894255,2.75,4.044,minus_1pct,0.0,0.003842,0.008481
E07000124,Rossendale,North West,E,268270.0,30939.0,8.670933126474676,2.75,4.044,minus_1pct,0.0,0.004194,0.007122
E07000125,South Ribble,North West,E,207374.0,36511.0,5.6797677412286705,2.75,4.044,minus_1pct,0.0,0.003921,0.006952
E07000126,West Lancashire,North West,E,232502.0,33146.0,7.014481385385869,2.75,4.044,minus_1pct,0.0,0.004647,0.008901
E07000127,Wyre,North West,E,179905.0,32255.0,5.577584870562704,2.75,4.044,minus_1pct,0.0,0.004035,0.008805
E07000163,Allerdale,North West,E,192551.0,34297.0,5.614222818322302,2.75,4.044,minus_1pct,0.0,0.003383,0.006706
E07000164,Barrow-in-Furness,North West,E,221690.0,31967.0,6.934964181812494,2.75,4.044,minus_1pct,0.0,0.003351,0.00868
E07000165,Carlisle,North West,E,226338.0,29878.0,7.575406653725149,2.75,4.044,minus_1pct,0.0,0.002907,0.006577
E07000166,Copeland,North West,E,220261.0,33613.0,6.5528515752833725,2.75,4.044,minus_1pct,0.0,0.004569,0.008391
E07000167,Eden,North West,E,205402.0,33569.0,6.11880008341029,2.75,4.044,minus_1pct,0.0,0.003669,0.00874
E07000168,South Lakeland,North West,E,240587.0,34992.0,6.875485825331505,2.75,4.044,minus_1pct,0.0,0.004378,0.008817
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,213202.0,35984.0,5.924911071587372,2.75,4.044,minus_1pct,0.0,0.003954,0.006928
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,261190.0,31880.0,8.192910915934755,2.75,4.044,minus_1pct,0.0,0.004723,0.008556
E06000012,North East Lincolnshire,Yorkshire and The Humber,E,242951.0,32659.0,7.439021402982332,2.75,4.044,minus_1pct,0.0,0.00308,0.007027
E06000013,North Lincolnshire,Yorkshire and The Humber,E,194059.0,27540.0,7.046441539578795,2.75,4.044,minus_1pct,0.0,0.003233,0.008537
E06000014,York,Yorkshire and The Humber,E,212039.0,34498.0,6.14641428488608,2.75,4.044,minus_1pct,0.0,0.003429,0.00675
E08000016,Barnsley,Yorkshire and The Humber,E,217704.0,33378.0,6.522380010785548,2.75,4.044,minus_1pct,0.0,0.003863,0.007922
E08000017,Doncaster,Yorkshire and The Humber,E,240224.0,36549.0,6.572655886617965,2.75,4.044,minus_1pct,0.0,0.003237,0.007217
E08000018,Rotherham,Yorkshire and The Humber,E,196032.0,32481.0,6.035282164957976,2.75,4.044,minus_1pct,0.0,0.002825,0.006782
E08000019,Sheffield,Yorkshire and The Humber,E,202056.0,30695.0,6.582700765597003,2.75,4.044,minus_1pct,0.0,0.003007,0.006547
E08000032,Bradford,Yorkshire and The Humber,E,202880.0,32084.0,6.323401072185513,2.75,4.044,minus_1pct,0.0,0.004391,0.007565
E08000033,Calderdale,Yorkshire and The Humber,E,197930.0,33618.0,5.88761972752692,2.75,4.044,minus_1pct,0.0,0.002563,0.007816
E08000034,Kirklees,Yorkshire and The Humber,E,220019.0,33702.0,6.528366269064151,2.75,4.044,minus_1pct,0.0,0.003913,0.006513
E08000035,Leeds,Yorkshire and The Humber,E,196005.0,31998.0,6.125539096193512,2.75,4.044,minus_1pct,0.0,0.004827,0.007797
E08000036,Wakefield,Yorkshire and The Humber,E,210085.0,33579.0,6.256440036927842,2.75,4.044,minus_1pct,0.0,0.003319,0.008298
E07000169,Scarborough,Yorkshire and The Humber,E,241957.0,29142.0,8.302690275204172,2.75,4.044,minus_1pct,0.0,0.004415,0.007666
E07000170,Selby,Yorkshire and The Humber,E,178346.0,33598.0,5.308232632894815,2.75,4.044,minus_1pct,0.0,0.003103,0.006494
E06000015,Derby,East Midlands,E,242932.0,37765.0,6.432728717066066,2.75,4.044,minus_1pct,0.0,0.003249,0.008162
E06000016,Leicester,East Midlands,E,253790.0,36016.0,7.046590404264771,2.75,4.044,minus_1pct,0.0,0.00344,0.009822
E06000017,Rutland,East Midlands,E,274485.0,31961.0,8.58812302493664,2.75,4.044,minus_1pct,0.0,0.004847,0.008391
E06000018,Nottingham,East Midlands,E,274329.0,34835.0,7.875096885316492,2.75,4.044,minus_1pct,0.0,0.003507,0.007536
E07000129,Amber Valley,East Midlands,E,264738.0,28784.0,9.197401334074486,2.75,4.044,minus_1pct,0.0,0.0034,0.008379
E07000130,Bolsover,East Midlands,E,237453.0,34977.0,6.788832661463247,2.75,4.044,minus_1pct,0.0,0.003364,0.008788
E07000131,Chesterfield,East Midlands,E,265645.0,31087.0,8.545211824878567,2.75,4.044,minus_1pct,0.0,0.003945,0.008023
E07000132,Derbyshire Dales,East Midlands,E,244557.0,31915.0,7.662760457465142,2.75,4.044,minus_1pct,0.0,0.004921,0.009405
E07000133,Erewash,East Midlands,E,272807.0,33066.0,8.250378031815158,2.75,4.044,minus_1pct,0.0,0.002844,0.010367
E07000134,High Peak,East Midlands,E,257718.0,31087.0,8.290217775919194,2.75,4.044,minus_1pct,0.0,0.00265,0.007706
E07000135,North East Derbyshire,East Midlands,E,252736.0,35057.0,7.209287731408849,2.75,4.044,minus_1pct,0.0,0.00368,0.007503
E07000136,South Derbyshire,East Midlands,E,298500.0,37914.0,7.873081183731603,2.75,4.044,minus_1pct,0.0,0.003034,0.007554
E07000137,Blaby,East Midlands,E,241679.0,29917.0,8.078316676137312,2.75,4.044,minus_1pct,0.0,0.004778,0.009395
E07000138,Charnwood,East Midlands,E,226741.0,32086.0,7.066664588917285,2.75,4.044,minus_1pct,0.0,0.003963,0.008492
E07000139,Harborough,East Midlands,E,203190.0,35007.0,5.804267717884994,2.75,4.044,minus_1pct,0.0,0.004567,0.010308
E07000140,Hinckley and Bosworth,East Midlands,E,234686.0,39301.0,5.971501997404646,2.75,4.044,minus_1pct,0.0,0.004562,0.010116
E07000141,Melton,East Midlands,E,243635.0,39217.0,6.21248438177321,2.75,4.044,minus_1pct,0.0,0.002627,0.00788
E07000142,North West Leicestershire,East Midlands,E,221439.0,31512.0,7.027132520944402,2.75,4.044,minus_1pct,0.0,0.004712,0.010319
E07000143,Oadby and Wigston,East Midlands,E,292135.0,34977.0,8.352202876175772,2.75,4.044,minus_1pct,0.0,0.003621,0.010071
E07000171,Boston,East Midlands,E,278186.0,32623.0,8.527296692517549,2.75,4.044,minus_1pct,0.0,0.004983,0.008849
E07000172,East Lindsey,East Midlands,E,280519.0,31069.0,9.028903408542277,2.75,4.044,minus_1pct,0.0,0.004036,0.008366
E07000173,Lincoln,East Midlands,E,236621.0,36526.0,6.478152548869298,2.75,4.044,minus_1pct,0.0,0.004738,0.010381
E07000174,North Kesteven,East Midlands,E,226285.0,36400.0,6.216620879120879,2.75,4.044,minus_1pct,0.0,0.003836,0.007588
E07000175,South Holland,East Midlands,E,259266.0,27720.0,9.353030303030303,2.75,4.044,minus_1pct,0.0,0.004786,0.009187
E07000176,South Kesteven,East Midlands,E,258761.0,33084.0,7.821333575142063,2.75,4.044,minus_1pct,0.0,0.003771,0.008319
E07000177,West Lindsey,East Midlands,E,311049.0,39512.0,7.872266653168658,2.75,4.044,minus_1pct,0.0,0.004543,0.00827
E07000191,Corby,East Midlands,E,279309.0,31411.0,8.892076024322689,2.75,4.044,minus_1pct,0.0,0.003959,0.009641
E07000192,Daventry,East Midlands,E,226173.0,35023.0,6.457841989549724,2.75,4.044,minus_1pct,0.0,0.003466,0.008174
E07000193,East Northamptonshire,East Midlands,E,283051.0,28821.0,9.820998577426183,2.75,4.044,minus_1pct,0.0,0.004451,0.009096
E07000194,Kettering,East Midlands,E,282921.0,36262.0,7.802134465832,2.75,4.044,minus_1pct,0.0,0.004885,0.00924
E07000195,Northampton,East Midlands,E,245262.0,32026.0,7.658215200149878,2.75,4.044,minus_1pct,0.0,0.003577,0.007848
E07000196,South Northamptonshire,East Midlands,E,278897.0,34248.0,8.143453632328896,2.75,4.044,minus_1pct,0.0,0.00428,0.01018
E07000197,Wellingborough,East Midlands,E,268783.0,34862.0,7.709913372726751,2.75,4.044,minus_1pct,0.0,0.003622,0.008452
E07000178,Rushcliffe,East Midlands,E,221967.0,31262.0,7.100217516473674,2.75,4.044,minus_1pct,0.0,0.003506,0.007748
E06000019,"Herefordshire, County of",West Midlands,E,295796.0,34390.0,8.601221285257342,2.75,4.044,minus_1pct,0.0,0.004559,0.008807
E06000020,Telford and Wrekin,West Midlands,E,235761.0,32564.0,7.239927527330795,2.75,4.044,minus_1pct,0.0,0.002797,0.010552
E06000021,Stoke-on-Trent,West Midlands,E,299875.0,32779.0,9.148387687238781,2.75,4.044,minus_1pct,0.0,0.003417,0.007754
E08000025,Birmingham,West Midlands,E,259195.0,37479.0,6.915739480775901,2.75,4.044,minus_1pct,0.0,0.004121,0.009945
E08000026,Coventry,West Midlands,E,207561.0,32409.0,6.40442469684347,2.75,4.044,minus_1pct,0.0,0.005019,0.008306
E08000027,Dudley,West Midlands,E,269229.0,34248.0,7.861159775753329,2.75,4.044,minus_1pct,0.0,0.003101,0.009441
E08000028,Sandwell,West Midlands,E,234090.0,27592.0,8.483980864018555,2.75,4.044,minus_1pct,0.0,0.002901,0.009301
E08000029,Solihull,West Midlands,E,263220.0,37249.0,7.06649842948804,2.75,4.044,minus_1pct,0.0,0.00294,0.010405
E08000030,Walsall,West Midlands,E,236442.0,34198.0,6.913913094333002,2.75,4.044,minus_1pct,0.0,0.003665,0.010289
E08000031,Wolverhampton,West Midlands,E,237694.0,34702.0,6.849576393291453,2.75,4.044,minus_1pct,0.0,0.0036,0.010545
E07000198,Stafford,West Midlands,E,261156.0,34172.0,7.642397284326349,2.75,4.044,minus_1pct,0.0,0.002994,0.007936
E07000199,Staffordshire Moorlands,West Midlands,E,223250.0,36628.0,6.095063885552037,2.75,4.044,minus_1pct,0.0,0.003107,0.008221
E07000200,Tamworth,West Midlands,E,280037.0,35830.0,7.815713089589729,2.75,4.044,minus_1pct,0.0,0.004744,0.009417
E06000051,Shropshire,West Midlands,E,287960.0,37292.0,7.721763380885981,2.75,4.044,minus_1pct,0.0,0.004181,0.008753
E07000218,North Warwickshire,West Midlands,E,233040.0,34363.0,6.781712888863021,2.75,4.044,minus_1pct,0.0,0.003571,0.008229
E07000219,Nuneaton and Bedworth,West Midlands,E,246813.0,31176.0,7.916762894534257,2.75,4.044,minus_1pct,0.0,0.00441,0.010156
E07000220,Rugby,West Midlands,E,253971.0,28662.0,8.86089595980741,2.75,4.044,minus_1pct,0.0,0.004511,0.009222
E07000221,Stratford-on-Avon,West Midlands,E,233791.0,33854.0,6.905860459620724,2.75,4.044,minus_1pct,0.0,0.004727,0.010235
E07000222,Warwick,West Midlands,E,238850.0,35213.0,6.783006276091216,2.75,4.044,minus_1pct,0.0,0.003133,0.009919
E06000031,Peterborough,East of England,E,367028.0,39386.0,9.318742700451937,2.75,4.044,minus_1pct,0.0,0.004674,0.009931
E06000032,Luton,East of England,E,400343.0,40469.0,9.892584447354766,2.75,4.044,minus_1pct,0.0,0.004327,0.008424
E06000033,Southend-on-Sea,East of England,E,342280.0,33347.0,10.264191681410622,2.75,4.044,minus_1pct,0.0,0.003565,0.007559
E06000034,Thurrock,East of England,E,355151.0,35678.0,9.954341611076854,2.75,4.044,minus_1pct,0.0,0.003266,0.007725
E07000008,Cambridge,East of England,E,345890.0,40718.0,8.494768898275947,2.75,4.044,minus_1pct,0.0,0.003447,0.009466
E07000012,East Cambridgeshire,East of England,E,302882.0,37194.0,8.143302683228479,2.75,4.044,minus_1pct,0.0,0.004977,0.007513
E07000014,Fenland,East of England,E,399560.0,37524.0,10.648118537469353,2.75,4.044,minus_1pct,0.0,0.004673,0.008751
E07000015,Huntingdonshire,East of England,E,303791.0,35896.0,8.463087809226655,2.75,4.044,minus_1pct,0.0,0.004794,0.007721
E07000016,South Cambridgeshire,East of England,E,240306.0,34822.0,6.900982137729022,2.75,4.044,minus_1pct,0.0,0.003623,0.008865
E07000062,Braintree,East of England,E,326953.0,33001.0,9.907366443441108,2.75,4.044,minus_1pct,0.0,0.004407,0.009486
E07000063,Brentwood,East of England,E,354339.0,32845.0,10.788217384685645,2.75,4.044,minus_1pct,0.0,0.004075,0.009488
E07000064,Castle Point,East of England,E,388910.0,36169.0,10.752578174679975,2.75,4.044,minus_1pct,0.0,0.005483,0.009089
E07000065,Chelmsford,East of England,E,287123.0,38329.0,7.491012027446581,2.75,4.044,minus_1pct,0.0,0.005149,0.009494
E07000066,Colchester,East of England,E,283396.0,31716.0,8.935426913860512,2.75,4.044,minus_1pct,0.0,0.004834,0.008291
E07000068,Epping Forest,East of England,E,334084.0,33372.0,10.010907347476927,2.75,4.044,minus_1pct,0.0,0.004421,0.008136
E07000069,Harlow,East of England,E,321734.0,34527.0,9.318330581863469,2.75,4.044,minus_1pct,0.0,0.004056,0.009452
E07000070,Maldon,East of England,E,296926.0,33497.0,8.864256500582142,2.75,4.044,minus_1pct,0.0,0.004727,0.008206
E07000071,Rochford,East of England,E,347969.0,34993.0,9.943960220615551,2.75,4.044,minus_1pct,0.0,0.005121,0.008041
E07000072,Tendring,East of England,E,401273.0,40021.0,10.02656105544589,2.75,4.044,minus_1pct,0.0,0.003436,0.009284
E07000073,Uttlesford,East of England,E,309572.0,33842.0,9.14756811063176,2.75,4.044,minus_1pct,0.0,0.003196,0.008064
E07000099,Broxbourne,East of England,E,289270.0,37640.0,7.685175345377258,2.75,4.044,minus_1pct,0.0,0.004474,0.007554
E07000100,Dacorum,East of England,E,376742.0,39450.0,9.549860583016477,2.75,4.044,minus_1pct,0.0,0.003418,0.009044
E07000102,Hertsmere,East of England,E,370173.0,35905.0,10.309789722879822,2.75,4.044,minus_1pct,0.0,0.004004,0.00852
E07000103,North Hertfordshire,East of England,E,283321.0,32037.0,8.843555888503918,2.75,4.044,minus_1pct,0.0,0.003833,0.008523
E07000104,St Albans,East of England,E,321741.0,33984.0,9.467425847457626,2.75,4.044,minus_1pct,0.0,0.004648,0.008601
E07000105,Stevenage,East of England,E,365131.0,34201.0,10.676032864536126,2.75,4.044,minus_1pct,0.0,0.00371,0.008408
E07000106,Three Rivers,East of England,E,389116.0,39539.0,9.84132122714282,2.75,4.044,minus_1pct,0.0,0.003304,0.009277
E07000107,Watford,East of England,E,372991.0,39287.0,9.494005650724159,2.75,4.044,minus_1pct,0.0,0.004325,0.008147
E07000108,Welwyn Hatfield,East of England,E,369405.0,37961.0,9.731171465451384,2.75,4.044,minus_1pct,0.0,0.003772,0.007905
E07000144,Breckland,East of England,E,350146.0,30151.0,11.613080826506584,2.75,4.044,minus_1pct,0.0,0.003644,0.008438
E07000145,Great Yarmouth,East of England,E,344098.0,38073.0,9.037848343970794,2.75,4.044,minus_1pct,0.0,0.005183,0.009036
E07000146,King's Lynn and West Norfolk,East of England,E,355820.0,34074.0,10.442566179491694,2.75,4.044,minus_1pct,0.0,0.005101,0.008835
E07000147,North Norfolk,East of England,E,323979.0,35241.0,9.193240827445305,2.75,4.044,minus_1pct,0.0,0.005194,0.008816
E07000148,Norwich,East of England,E,335334.0,30554.0,10.975126006414872,2.75,4.044,minus_1pct,0.0,0.005226,0.007704
E07000149,South Norfolk,East of England,E,325023.0,38124.0,8.52541706011961,2.75,4.044,minus_1pct,0.0,0.0054,0.00969
E07000201,Mid Suffolk,East of England,E,293684.0,32670.0,8.989409243954698,2.75,4.044,minus_1pct,0.0,0.004198,0.009237
E07000202,East Suffolk,East of England,E,296901.0,36298.0,8.179541572538431,2.75,4.044,minus_1pct,0.0,0.003938,0.008475
E07000203,West Suffolk,East of England,E,339727.0,34531.0,9.83831919145116,2.75,4.044,minus_1pct,0.0,0.003875,0.007662
E09000001,City of London,London,E,1135342.0,97845.0,11.603474883744699,2.75,4.044,minus_1pct,0.0009,0.005822,0.016369
E09000002,Barking and Dagenham,London,E,455630.0,30821.0,14.783102430161254,2.75,4.044,minus_1pct,0.0006,0.005805,0.016051
E09000003,Barnet,London,E,497180.0,45387.0,10.95423799766453,2.75,4.044,minus_1pct,0.0026,0.005634,0.017406
E09000004,Bexley,London,E,521385.0,41473.0,12.571673136739566,2.75,4.044,minus_1pct,0.0031,0.005324,0.017235
E09000005,Brent,London,E,467223.0,44248.0,10.559189115892243,2.75,4.044,minus_1pct,0.0007,0.005273,0.015542
E09000006,Bromley,London,E,551383.0,49450.0,11.1503134479272,2.75,4.044,minus_1pct,0.0006,0.004634,0.014762
E09000007,Camden,London,E,847919.0,76034.0,11.151839966330853,2.75,4.044,minus_1pct,0.0003,0.00624,0.015817
E09000008,Croydon,London,E,550525.0,48366.0,11.382479427697143,2.75,4.044,minus_1pct,0.0005,0.006532,0.01663
E09000009,Ealing,London,E,575130.0,38494.0,14.94076999012833,2.75,4.044,minus_1pct,0.0016,0.004725,0.015655
E09000010,Enfield,London,E,542619.0,49822.0,10.89115250291036,2.75,4.044,minus_1pct,0.0049,0.004702,0.017185
E09000011,Greenwich,London,E,611126.0,42330.0,14.437184030238601,2.75,4.044,minus_1pct,0.0001,0.006716,0.014792
E09000012,Hackney,London,E,567485.0,47628.0,11.914944990341816,2.75,4.044,minus_1pct,0.0052,0.004343,0.016871
E09000013,Hammersmith and Fulham,London,E,900138.0,66112.0,13.615349709583736,2.75,4.044,minus_1pct,0.0002,0.006348,0.015309
E09000014,Haringey,London,E,457032.0,39459.0,11.582452672394131,2.75,4.044,minus_1pct,0.0001,0.00663,0.014752
E09000015,Harrow,London,E,435640.0,40102.0,10.863298588599072,2.75,4.044,minus_1pct,0.0003,0.006114,0.015634
E09000016,Havering,London,E,510083.0,43448.0,11.74008009574664,2.75,4.044,minus_1pct,0.0037,0.004944,0.017181
E09000017,Hillingdon,London,E,523752.0,54169.0,9.668851187948826,2.75,4.044,minus_1pct,0.001,0.006191,0.016744
E09000018,Hounslow,London,E,575616.0,40286.0,14.288239090502904,2.75,4.044,minus_1pct,0.0004,0.005804,0.015677
E09000019,Islington,London,E,856375.0,73003.0,11.730682300727368,2.75,4.044,minus_1pct,0.0004,0.006067,0.016123
E09000020,Kensington and Chelsea,London,E,1248743.0,110582.0,11.292461702627914,2.75,4.044,minus_1pct,0.0,0.005501,0.01334
E09000021,Kingston upon Thames,London,E,887960.0,65849.0,13.484790961138362,2.75,4.044,minus_1pct,0.0035,0.005054,0.017075
E09000022,Lambeth,London,E,492721.0,47411.0,10.39254603362089,2.75,4.044,minus_1pct,0.0015,0.006567,0.017808
E09000023,Lewisham,London,E,621676.0,44524.0,13.962716737040697,2.75,4.044,minus_1pct,0.0025,0.005678,0.017268
E09000024,Merton,London,E,570301.0,40006.0,14.2553866919962,2.75,4.044,minus_1pct,0.0038,0.005152,0.017451
E09000025,Newham,London,E,454464.0,37572.0,12.095816033216225,2.75,4.044,minus_1pct,0.0003,0.004774,0.014094
E09000026,Redbridge,London,E,467678.0,39232.0,11.920829934747145,2.75,4.044,minus_1pct,0.0003,0.005953,0.015572
E09000027,Richmond upon Thames,London,E,709366.0,68464.0,10.361153306847394,2.75,4.044,minus_1pct,0.0022,0.0046,0.015969
E09000028,Southwark,London,E,747754.0,63927.0,11.696998138501728,2.75,4.044,minus_1pct,0.0015,0.005737,0.016832
E09000029,Sutton,London,E,621005.0,44776.0,13.86914865106307,2.75,4.044,minus_1pct,0.0038,0.00559,0.017899
E09000030,Tower Hamlets,London,E,553155.0,43719.0,12.652508062855967,2.75,4.044,minus_1pct,0.0002,0.006663,0.015795
E09000031,Waltham Forest,London,E,489418.0,44546.0,10.986800161630674,2.75,4.044,minus_1pct,0.0,0.006304,0.0143
E09000032,Wandsworth,London,E,901928.0,68196.0,13.225526423837175,2.75,4.044,minus_1pct,0.0051,0.005122,0.017794
E09000033,Westminster,London,E,944826.0,76529.0,12.34598648878203,2.75,4.044,minus_1pct,0.0002,0.005458,0.014476
E06000035,Medway,South East,E,442253.0,38506.0,11.485300992053187,2.75,4.044,minus_1pct,0.0,0.004395,0.009771
E06000036,Bracknell Forest,South East,E,350735.0,34885.0,10.05403468539487,2.75,4.044,minus_1pct,0.0,0.004018,0.008987
E06000037,West Berkshire,South East,E,435722.0,38971.0,11.180672807985426,2.75,4.044,minus_1pct,0.0,0.004062,0.009263
E06000038,Reading,South East,E,380061.0,40353.0,9.418407553341758,2.75,4.044,minus_1pct,0.0,0.004463,0.010606
E06000039,Slough,South East,E,391792.0,41427.0,9.457407005093296,2.75,4.044,minus_1pct,0.0,0.005212,0.009934
E06000040,Windsor and Maidenhead,South East,E,312438.0,44812.0,6.972194947781844,2.75,4.044,minus_1pct,0.0,0.004614,0.008465
E06000041,Wokingham,South East,E,396750.0,44360.0,8.943868349864744,2.75,4.044,minus_1pct,0.0,0.005657,0.010559
E06000042,Milton Keynes,South East,E,356559.0,33903.0,10.517033890806124,2.75,4.044,minus_1pct,0.0,0.006107,0.008592
E06000043,Brighton and Hove,South East,E,441906.0,34656.0,12.751211911357341,2.75,4.044,minus_1pct,0.0,0.004586,0.009905
E06000044,Portsmouth,South East,E,330680.0,39010.0,8.476800820302486,2.75,4.044,minus_1pct,0.0,0.004357,0.00874
E06000045,Southampton,South East,E,471692.0,38567.0,12.230456089402857,2.75,4.044,minus_1pct,0.0,0.005441,0.009808
E06000046,Isle of Wight,South East,E,382589.0,39627.0,9.654755595932066,2.75,4.044,minus_1pct,0.0,0.005164,0.009053
E07000004,Aylesbury Vale,South East,E,388194.0,35989.0,10.786462530217566,2.75,4.044,minus_1pct,0.0,0.004775,0.010377
E07000005,Chiltern,South East,E,420800.0,34081.0,12.347055544144832,2.75,4.044,minus_1pct,0.0,0.003881,0.008643
E07000006,South Bucks,South East,E,391927.0,34769.0,11.272311541890765,2.75,4.044,minus_1pct,0.0,0.004954,0.008291
E07000007,Wycombe,South East,E,415249.0,42100.0,9.863396674584322,2.75,4.044,minus_1pct,0.0,0.005939,0.009765
E07000078,Eastbourne,South East,E,363260.0,35900.0,10.11866295264624,2.75,4.044,minus_1pct,0.0,0.004893,0.010017
E07000079,Hastings,South East,E,364276.0,34070.0,10.691987085412386,2.75,4.044,minus_1pct,0.0,0.004437,0.010514
E07000080,Lewes,South East,E,305931.0,40420.0,7.568802572983672,2.75,4.044,minus_1pct,0.0,0.005914,0.008248
E07000081,Rother,South East,E,463138.0,38642.0,11.985352725014232,2.75,4.044,minus_1pct,0.0,0.004423,0.008288
E07000082,Wealden,South East,E,425011.0,44388.0,9.57490763269352,2.75,4.044,minus_1pct,0.0,0.005981,0.008723
E07000083,Basingstoke and Deane,South East,E,360981.0,37888.0,9.52758129222973,2.75,4.044,minus_1pct,0.0,0.004993,0.007692
E07000084,East Hampshire,South East,E,459473.0,38236.0,12.016764305889737,2.75,4.044,minus_1pct,0.0,0.005794,0.007968
E07000085,Eastleigh,South East,E,428789.0,37448.0,11.45025101474044,2.75,4.044,minus_1pct,0.0,0.004878,0.008588
